timestep_time,vehicle_acceleration,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,0.00,90.00,0,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
1.00,2.60,90.00,0,e0_0,7.70,0.00,2.60,Car,7.70,-1.60
2.00,2.60,90.00,0,e0_0,12.90,0.00,5.20,Car,12.90,-1.60
2.00,0.00,90.00,1,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
3.00,2.60,90.00,0,e0_0,20.70,0.00,7.80,Car,20.70,-1.60
3.00,1.30,90.00,1,e0_0,6.40,0.00,1.30,Car,6.40,-1.60
4.00,2.60,90.00,0,e0_0,31.10,0.00,10.40,Car,31.10,-1.60
4.00,2.60,90.00,1,e0_0,10.30,0.00,3.90,Car,10.30,-1.60
5.00,2.60,90.00,0,e0_0,44.10,0.00,13.00,Car,44.10,-1.60
5.00,2.60,90.00,1,e0_0,16.80,0.00,6.50,Car,16.80,-1.60
5.00,0.00,90.00,2,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
6.00,2.60,90.00,0,e0_0,59.70,0.00,15.60,Car,59.70,-1.60
6.00,2.60,90.00,1,e0_0,25.90,0.00,9.10,Car,25.90,-1.60
6.00,2.60,90.00,2,e0_0,7.70,0.00,2.60,Car,7.70,-1.60
7.00,2.60,90.00,0,e0_0,77.90,0.00,18.20,Car,77.90,-1.60
7.00,2.60,90.00,1,e0_0,37.59,0.00,11.70,Car,37.59,-1.60
7.00,2.60,90.00,2,e0_0,12.90,0.00,5.20,Car,12.90,-1.60
7.00,0.00,90.00,3,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
8.00,2.60,90.00,0,e0_0,98.70,0.00,20.80,Car,98.70,-1.60
8.00,2.60,90.00,1,e0_0,51.89,0.00,14.30,Car,51.89,-1.60
8.00,2.60,90.00,2,e0_0,20.70,0.00,7.80,Car,20.70,-1.60
8.00,1.30,90.00,3,e0_0,6.40,0.00,1.30,Car,6.40,-1.60
9.00,2.60,90.00,0,e0_0,122.10,0.00,23.40,Car,122.10,-1.60
9.00,2.60,90.00,1,e0_0,68.79,0.00,16.90,Car,68.79,-1.60
9.00,2.60,90.00,2,e0_0,31.10,0.00,10.40,Car,31.10,-1.60
9.00,2.60,90.00,3,e0_0,10.30,0.00,3.90,Car,10.30,-1.60
10.00,2.60,90.00,0,e0_0,148.10,0.00,26.00,Car,148.10,-1.60
10.00,2.60,90.00,1,e0_0,88.29,0.00,19.50,Car,88.29,-1.60
10.00,2.60,90.00,2,e0_0,44.10,0.00,13.00,Car,44.10,-1.60
10.00,2.60,90.00,3,e0_0,16.80,0.00,6.50,Car,16.80,-1.60
10.00,0.00,90.00,4,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
11.00,2.60,90.00,0,e0_0,176.70,0.00,28.60,Car,176.70,-1.60
11.00,2.60,90.00,1,e0_0,110.39,0.00,22.10,Car,110.39,-1.60
11.00,2.60,90.00,2,e0_0,59.70,0.00,15.60,Car,59.70,-1.60
11.00,2.60,90.00,3,e0_0,25.90,0.00,9.10,Car,25.90,-1.60
11.00,2.60,90.00,4,e0_0,7.70,0.00,2.60,Car,7.70,-1.60
12.00,2.60,90.00,0,e0_0,207.90,0.00,31.20,Car,207.90,-1.60
12.00,2.60,90.00,1,e0_0,135.09,0.00,24.70,Car,135.09,-1.60
12.00,2.60,90.00,2,e0_0,77.90,0.00,18.20,Car,77.90,-1.60
12.00,2.60,90.00,3,e0_0,37.59,0.00,11.70,Car,37.59,-1.60
12.00,2.60,90.00,4,e0_0,12.90,0.00,5.20,Car,12.90,-1.60
13.00,2.33,90.00,0,e0_0,241.43,0.00,33.53,Car,241.43,-1.60
13.00,2.60,90.00,1,e0_0,162.39,0.00,27.30,Car,162.39,-1.60
13.00,2.60,90.00,2,e0_0,98.70,0.00,20.80,Car,98.70,-1.60
13.00,2.60,90.00,3,e0_0,51.89,0.00,14.30,Car,51.89,-1.60
13.00,2.60,90.00,4,e0_0,20.70,0.00,7.80,Car,20.70,-1.60
14.00,0.00,90.00,0,e0_0,274.96,0.00,33.53,Car,274.96,-1.60
14.00,1.66,90.00,1,e0_0,191.35,0.00,28.96,Car,191.35,-1.60
14.00,2.60,90.00,2,e0_0,122.10,0.00,23.40,Car,122.10,-1.60
14.00,2.60,90.00,3,e0_0,68.79,0.00,16.90,Car,68.79,-1.60
14.00,2.60,90.00,4,e0_0,31.10,0.00,10.40,Car,31.10,-1.60
15.00,0.00,90.00,0,e0_0,308.48,0.00,33.53,Car,308.48,-1.60
15.00,1.00,90.00,1,e0_0,221.32,0.00,29.96,Car,221.32,-1.60
15.00,2.60,90.00,2,e0_0,148.10,0.00,26.00,Car,148.10,-1.60
15.00,2.60,90.00,3,e0_0,88.29,0.00,19.50,Car,88.29,-1.60
15.00,2.60,90.00,4,e0_0,44.10,0.00,13.00,Car,44.10,-1.60
16.00,0.00,90.00,0,e0_0,342.01,0.00,33.53,Car,342.01,-1.60
16.00,0.60,90.00,1,e0_0,251.88,0.00,30.56,Car,251.88,-1.60
16.00,2.60,90.00,2,e0_0,176.70,0.00,28.60,Car,176.70,-1.60
16.00,2.60,90.00,3,e0_0,110.39,0.00,22.10,Car,110.39,-1.60
16.00,2.60,90.00,4,e0_0,59.70,0.00,15.60,Car,59.70,-1.60
17.00,0.00,90.00,0,e0_0,375.54,0.00,33.53,Car,375.54,-1.60
