timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,90.00,0,e0_0,5.10,0.00,0.00,Car01,5.10,-1.60
1.00,90.00,0,e0_0,6.85,0.00,1.75,Car01,6.85,-1.60
2.00,90.00,0,e0_0,10.51,0.00,3.66,Car01,10.51,-1.60
3.00,90.00,0,e0_0,16.25,0.00,5.75,Car01,16.25,-1.60
3.00,90.00,1,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
4.00,90.00,0,e0_0,23.58,0.00,7.33,Car01,23.58,-1.60
4.00,90.00,1,e0_0,7.70,0.00,2.60,Car,7.70,-1.60
5.00,90.00,0,e0_0,32.51,0.00,8.92,Car01,32.51,-1.60
5.00,90.00,1,e0_0,12.90,0.00,5.20,Car,12.90,-1.60
5.00,90.00,2,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
6.00,90.00,0,e0_0,43.52,0.00,11.01,Car01,43.52,-1.60
6.00,90.00,1,e0_0,20.70,0.00,7.80,Car,20.70,-1.60
6.00,90.00,2,e0_0,6.40,0.00,1.30,Car,6.40,-1.60
7.00,90.00,0,e0_0,56.27,0.00,12.75,Car01,56.27,-1.60
7.00,90.00,1,e0_0,31.10,0.00,10.40,Car,31.10,-1.60
7.00,90.00,2,e0_0,10.30,0.00,3.90,Car,10.30,-1.60
8.00,90.00,0,e0_0,71.10,0.00,14.84,Car01,71.10,-1.60
8.00,90.00,1,e0_0,44.10,0.00,13.00,Car,44.10,-1.60
8.00,90.00,2,e0_0,16.80,0.00,6.50,Car,16.80,-1.60
8.00,90.00,3,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
9.00,90.00,0,e0_0,88.11,0.00,17.00,Car01,88.11,-1.60
9.00,90.00,1,e0_0,59.70,0.00,15.60,Car,59.70,-1.60
9.00,90.00,2,e0_0,25.90,0.00,9.10,Car,25.90,-1.60
9.00,90.00,3,e0_0,7.70,0.00,2.60,Car,7.70,-1.60
10.00,90.00,0,e0_0,107.07,0.00,18.97,Car01,107.07,-1.60
10.00,90.00,1,e0_0,76.63,0.00,16.93,Car,76.63,-1.60
10.00,90.00,2,e0_0,37.59,0.00,11.70,Car,37.59,-1.60
10.00,90.00,3,e0_0,12.90,0.00,5.20,Car,12.90,-1.60
10.00,90.00,4,e0_0,5.10,0.00,0.00,Car,5.10,-1.60
11.00,90.00,0,e0_0,127.96,0.00,20.89,Car01,127.96,-1.60
11.00,90.00,1,e0_0,95.43,0.00,18.80,Car,95.43,-1.60
11.00,90.00,2,e0_0,51.89,0.00,14.30,Car,51.89,-1.60
11.00,90.00,3,e0_0,20.70,0.00,7.80,Car,20.70,-1.60
11.00,90.00,4,e0_0,6.40,0.00,1.30,Car,6.40,-1.60
12.00,90.00,0,e0_0,150.84,0.00,22.87,Car01,150.84,-1.60
12.00,90.00,1,e0_0,116.16,0.00,20.72,Car,116.16,-1.60
12.00,90.00,2,e0_0,68.79,0.00,16.90,Car,68.79,-1.60
12.00,90.00,3,e0_0,31.10,0.00,10.40,Car,31.10,-1.60
12.00,90.00,4,e0_0,10.30,0.00,3.90,Car,10.30,-1.60
13.00,90.00,0,e0_0,175.12,0.00,24.28,Car01,175.12,-1.60
13.00,90.00,1,e0_0,138.86,0.00,22.70,Car,138.86,-1.60
13.00,90.00,2,e0_0,88.29,0.00,19.50,Car,88.29,-1.60
13.00,90.00,3,e0_0,44.10,0.00,13.00,Car,44.10,-1.60
13.00,90.00,4,e0_0,16.80,0.00,6.50,Car,16.80,-1.60
14.00,90.00,0,e0_0,200.73,0.00,25.61,Car01,200.73,-1.60
14.00,90.00,1,e0_0,163.07,0.00,24.21,Car,163.07,-1.60
14.00,90.00,2,e0_0,110.39,0.00,22.10,Car,110.39,-1.60
14.00,90.00,3,e0_0,59.70,0.00,15.60,Car,59.70,-1.60
14.00,90.00,4,e0_0,25.90,0.00,9.10,Car,25.90,-1.60
15.00,90.00,0,e0_0,228.21,0.00,27.48,Car01,228.21,-1.60
15.00,90.00,1,e0_0,188.63,0.00,25.57,Car,188.63,-1.60
15.00,90.00,2,e0_0,135.09,0.00,24.70,Car,135.09,-1.60
15.00,90.00,3,e0_0,77.90,0.00,18.20,Car,77.90,-1.60
15.00,90.00,4,e0_0,37.59,0.00,11.70,Car,37.59,-1.60
16.00,90.00,0,e0_0,257.01,0.00,28.81,Car01,257.01,-1.60
16.00,90.00,1,e0_0,215.99,0.00,27.36,Car,215.99,-1.60
16.00,90.00,2,e0_0,162.39,0.00,27.30,Car,162.39,-1.60
16.00,90.00,3,e0_0,98.70,0.00,20.80,Car,98.70,-1.60
16.00,90.00,4,e0_0,51.89,0.00,14.30,Car,51.89,-1.60
17.00,90.00,0,e0_0,287.72,0.00,30.71,Car01,287.72,-1.60
17.00,90.00,1,e0_0,244.75,0.00,28.76,Car,244.75,-1.60
17.00,90.00,2,e0_0,192.18,0.00,29.79,Car,192.18,-1.60
17.00,90.00,3,e0_0,122.10,0.00,23.40,Car,122.10,-1.60
17.00,90.00,4,e0_0,68.79,0.00,16.90,Car,68.79,-1.60
18.00,90.00,0,e0_0,320.56,0.00,32.83,Car01,320.56,-1.60
18.00,90.00,1,e0_0,275.34,0.00,30.59,Car,275.34,-1.60
18.00,90.00,2,e0_0,223.47,0.00,31.29,Car,223.47,-1.60
18.00,90.00,3,e0_0,148.10,0.00,26.00,Car,148.10,-1.60
18.00,90.00,4,e0_0,88.29,0.00,19.50,Car,88.29,-1.60
19.00,90.00,0,e0_0,353.17,0.00,32.61,Car01,353.17,-1.60
19.00,90.00,1,e0_0,306.80,0.00,31.46,Car,306.80,-1.60
19.00,90.00,2,e0_0,254.84,0.00,31.38,Car,254.84,-1.60
19.00,90.00,3,e0_0,176.70,0.00,28.60,Car,176.70,-1.60
19.00,90.00,4,e0_0,110.39,0.00,22.10,Car,110.39,-1.60
20.00,90.00,0,e0_0,386.57,0.00,33.41,Car01,386.57,-1.60
20.00,90.00,1,e0_0,338.26,0.00,31.46,Car,338.26,-1.60
20.00,90.00,2,e0_0,286.28,0.00,31.44,Car,286.28,-1.60
20.00,90.00,3,e0_0,207.27,0.00,30.57,Car,207.27,-1.60
20.00,90.00,4,e0_0,135.09,0.00,24.70,Car,135.09,-1.60
21.00,90.00,0,e0_0,419.56,0.00,32.99,Car01,419.56,-1.60
21.00,90.00,1,e0_0,369.72,0.00,31.46,Car,369.72,-1.60
21.00,90.00,2,e0_0,317.78,0.00,31.50,Car,317.78,-1.60
21.00,90.00,3,e0_0,239.03,0.00,31.75,Car,239.03,-1.60
21.00,90.00,4,e0_0,162.39,0.00,27.30,Car,162.39,-1.60
22.00,90.00,0,e0_0,452.25,0.00,32.69,Car01,452.25,-1.60
22.00,90.00,1,e0_0,401.19,0.00,31.46,Car,401.19,-1.60
22.00,90.00,2,e0_0,349.33,0.00,31.55,Car,349.33,-1.60
22.00,90.00,3,e0_0,271.49,0.00,32.46,Car,271.49,-1.60
22.00,90.00,4,e0_0,192.18,0.00,29.79,Car,192.18,-1.60
23.00,90.00,0,e0_0,484.53,0.00,32.28,Car01,484.53,-1.60
23.00,90.00,1,e0_0,432.65,0.00,31.46,Car,432.65,-1.60
23.00,90.00,2,e0_0,380.93,0.00,31.60,Car,380.93,-1.60
23.00,90.00,3,e0_0,304.38,0.00,32.89,Car,304.38,-1.60
23.00,90.00,4,e0_0,223.47,0.00,31.29,Car,223.47,-1.60
24.00,90.00,0,e0_0,517.98,0.00,33.45,Car01,517.98,-1.60
24.00,90.00,1,e0_0,464.11,0.00,31.46,Car,464.11,-1.60
24.00,90.00,2,e0_0,412.58,0.00,31.65,Car,412.58,-1.60
24.00,90.00,3,e0_0,337.52,0.00,33.14,Car,337.52,-1.60
24.00,90.00,4,e0_0,255.65,0.00,32.18,Car,255.65,-1.60
25.00,90.00,0,e0_0,550.57,0.00,32.59,Car01,550.57,-1.60
25.00,90.00,1,e0_0,495.57,0.00,31.46,Car,495.57,-1.60
25.00,90.00,2,e0_0,444.26,0.00,31.69,Car,444.26,-1.60
25.00,90.00,3,e0_0,370.82,0.00,33.30,Car,370.82,-1.60
25.00,90.00,4,e0_0,288.37,0.00,32.72,Car,288.37,-1.60
26.00,90.00,0,e0_0,584.09,0.00,33.52,Car01,584.09,-1.60
26.00,90.00,1,e0_0,527.03,0.00,31.46,Car,527.03,-1.60
26.00,90.00,2,e0_0,475.99,0.00,31.73,Car,475.99,-1.60
26.00,90.00,3,e0_0,404.21,0.00,33.39,Car,404.21,-1.60
26.00,90.00,4,e0_0,321.41,0.00,33.04,Car,321.41,-1.60
27.00,90.00,0,e0_0,617.05,0.00,32.96,Car01,617.05,-1.60
27.00,90.00,1,e0_0,558.49,0.00,31.46,Car,558.49,-1.60
27.00,90.00,2,e0_0,507.75,0.00,31.76,Car,507.75,-1.60
27.00,90.00,3,e0_0,437.66,0.00,33.45,Car,437.66,-1.60
27.00,90.00,4,e0_0,354.65,0.00,33.24,Car,354.65,-1.60
28.00,90.00,0,e0_0,650.51,0.00,33.46,Car01,650.51,-1.60
28.00,90.00,1,e0_0,589.95,0.00,31.46,Car,589.95,-1.60
28.00,90.00,2,e0_0,539.55,0.00,31.79,Car,539.55,-1.60
28.00,90.00,3,e0_0,471.13,0.00,33.48,Car,471.13,-1.60
28.00,90.00,4,e0_0,388.00,0.00,33.35,Car,388.00,-1.60
29.00,90.00,0,e0_0,683.64,0.00,33.13,Car01,683.64,-1.60
29.00,90.00,1,e0_0,621.42,0.00,31.46,Car,621.42,-1.60
