data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
0.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.13,0,e0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,-1.60,,,,,,,,,,,,,,,
0.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,e0,1609340.00,164.78,2624.72,0.81,1.20,0.07,0.00,1.13,e0_0,33.53,0.00,55.94,0.00,1
0.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
1.00,147.38,3220.52,0.75,1.44,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.38,0,e0_0,64.31,6.85,route01,1.75,Car01,0.00,6.85,-1.60,,,,,,,,,,,,,,,
1.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,e0,919.28,147.38,3220.52,0.75,1.44,0.07,0.00,1.38,e0_0,33.53,1.75,64.31,0.00,1
1.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
2.00,135.53,4072.23,0.71,1.79,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1.75,0,e0_0,65.78,10.51,route01,3.66,Car01,0.00,10.51,-1.60,,,,,,,,,,,,,,,
2.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
