timestep_time,vehicle_acceleration,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,0.00,90.00,0,gneE0_0,5.10,0.00,0.00,Car01,5.10,0.00
1.00,1.75,90.00,0,gneE0_0,6.85,0.00,1.75,Car01,6.85,0.00
2.00,1.91,90.00,0,gneE0_0,10.51,0.00,3.66,Car01,10.51,0.00
3.00,2.09,90.00,0,gneE0_0,16.25,0.00,5.75,Car01,16.25,0.00
3.00,0.00,90.00,1,gneE0_0,5.10,0.00,0.00,Car01,5.10,0.00
4.00,1.58,90.00,0,gneE0_0,23.58,0.00,7.33,Car01,23.58,0.00
4.00,1.59,90.00,1,gneE0_0,6.69,0.00,1.59,Car01,6.69,0.00
5.00,2.09,90.00,0,gneE0_0,33.00,0.00,9.42,Car01,33.00,0.00
5.00,1.74,90.00,1,gneE0_0,10.03,0.00,3.33,Car01,10.03,0.00
6.00,2.09,90.00,0,gneE0_0,44.50,0.00,11.50,Car01,44.50,0.00
6.00,2.16,90.00,1,gneE0_0,15.52,0.00,5.50,Car01,15.52,0.00
6.00,0.00,90.00,2,gneE0_0,5.10,0.00,0.00,Car01,5.10,0.00
7.00,1.97,90.00,0,gneE0_0,57.98,0.00,13.47,Car01,57.98,0.00
7.00,1.92,90.00,1,gneE0_0,22.94,0.00,7.42,Car01,22.94,0.00
7.00,1.98,90.00,2,gneE0_0,7.08,0.00,1.98,Car01,7.08,0.00
8.00,1.41,90.00,0,gneE0_0,72.85,0.00,14.88,Car01,72.85,0.00
8.00,1.33,90.00,1,gneE0_0,31.69,0.00,8.75,Car01,31.69,0.00
8.00,1.87,90.00,2,gneE0_0,10.94,0.00,3.85,Car01,10.94,0.00
9.00,1.33,90.00,0,gneE0_0,89.06,0.00,16.20,Car01,89.06,0.00
9.00,1.90,90.00,1,gneE0_0,42.34,0.00,10.65,Car01,42.34,0.00
9.00,2.13,90.00,2,gneE0_0,16.92,0.00,5.98,Car01,16.92,0.00
9.00,0.00,90.00,3,gneE0_0,5.10,0.00,0.00,Car01,5.10,0.00
10.00,1.68,90.00,0,gneE0_0,106.94,0.00,17.89,Car01,106.94,0.00
10.00,2.48,90.00,1,gneE0_0,55.47,0.00,13.13,Car01,55.47,0.00
10.00,2.06,90.00,2,gneE0_0,24.96,0.00,8.04,Car01,24.96,0.00
10.00,1.76,90.00,3,gneE0_0,6.86,0.00,1.76,Car01,6.86,0.00
11.00,1.35,90.00,0,gneE0_0,126.18,0.00,19.24,Car01,126.18,0.00
11.00,2.52,90.00,1,gneE0_0,71.12,0.00,15.65,Car01,71.12,0.00
11.00,1.66,90.00,2,gneE0_0,34.66,0.00,9.70,Car01,34.66,0.00
11.00,2.60,90.00,3,gneE0_0,11.22,0.00,4.36,Car01,11.22,0.00
12.00,2.03,90.00,0,gneE0_0,147.45,0.00,21.27,Car01,147.45,0.00
12.00,2.54,90.00,1,gneE0_0,89.30,0.00,18.18,Car01,89.30,0.00
12.00,2.20,90.00,2,gneE0_0,46.56,0.00,11.90,Car01,46.56,0.00
12.00,1.60,90.00,3,gneE0_0,17.17,0.00,5.95,Car01,17.17,0.00
12.00,0.00,90.00,4,gneE0_0,5.10,0.00,0.00,Car01,5.10,0.00
13.00,2.24,90.00,0,gneE0_0,170.97,0.00,23.51,Car01,170.97,0.00
13.00,1.37,90.00,1,gneE0_0,108.86,0.00,19.55,Car01,108.86,0.00
13.00,2.41,90.00,2,gneE0_0,60.87,0.00,14.31,Car01,60.87,0.00
13.00,1.84,90.00,3,gneE0_0,24.97,0.00,7.80,Car01,24.97,0.00
13.00,2.51,90.00,4,gneE0_0,7.61,0.00,2.51,Car01,7.61,0.00
14.00,1.72,90.00,0,gneE0_0,196.20,0.00,25.23,Car01,196.20,0.00
14.00,2.53,90.00,1,gneE0_0,130.94,0.00,22.08,Car01,130.94,0.00
14.00,1.85,90.00,2,gneE0_0,77.03,0.00,16.16,Car01,77.03,0.00
14.00,2.11,90.00,3,gneE0_0,34.88,0.00,9.91,Car01,34.88,0.00
14.00,1.32,90.00,4,gneE0_0,11.45,0.00,3.83,Car01,11.45,0.00
15.00,2.17,90.00,0,gneE0_0,223.60,0.00,27.40,Car01,223.60,0.00
15.00,2.27,90.00,1,gneE0_0,155.30,0.00,24.35,Car01,155.30,0.00
15.00,2.22,90.00,2,gneE0_0,95.42,0.00,18.38,Car01,95.42,0.00
15.00,2.02,90.00,3,gneE0_0,46.80,0.00,11.92,Car01,46.80,0.00
15.00,2.19,90.00,4,gneE0_0,17.47,0.00,6.02,Car01,17.47,0.00
16.00,2.18,90.00,0,gneE0_0,253.18,0.00,29.58,Car01,253.18,0.00
16.00,2.12,90.00,1,gneE0_0,181.77,0.00,26.48,Car01,181.77,0.00
16.00,1.43,90.00,2,gneE0_0,115.24,0.00,19.82,Car01,115.24,0.00
16.00,1.64,90.00,3,gneE0_0,60.37,0.00,13.57,Car01,60.37,0.00
16.00,1.76,90.00,4,gneE0_0,25.25,0.00,7.78,Car01,25.25,0.00
17.00,0.87,90.00,0,gneE0_0,283.63,0.00,30.45,Car01,283.63,0.00
17.00,2.49,90.00,1,gneE0_0,210.74,0.00,28.96,Car01,210.74,0.00
17.00,1.40,90.00,2,gneE0_0,136.45,0.00,21.22,Car01,136.45,0.00
17.00,2.57,90.00,3,gneE0_0,76.50,0.00,16.13,Car01,76.50,0.00
17.00,1.67,90.00,4,gneE0_0,34.70,0.00,9.46,Car01,34.70,0.00
18.00,0.36,90.00,0,gneE0_0,314.44,0.00,30.81,Car01,314.44,0.00
18.00,1.12,90.00,1,gneE0_0,240.82,0.00,30.09,Car01,240.82,0.00
18.00,2.48,90.00,2,gneE0_0,160.15,0.00,23.69,Car01,160.15,0.00
18.00,2.41,90.00,3,gneE0_0,95.04,0.00,18.54,Car01,95.04,0.00
18.00,1.61,90.00,4,gneE0_0,45.77,0.00,11.06,Car01,45.77,0.00
19.00,-0.64,90.00,0,gneE0_0,344.61,0.00,30.17,Car01,344.61,0.00
19.00,0.18,90.00,1,gneE0_0,271.09,0.00,30.27,Car01,271.09,0.00
19.00,1.71,90.00,2,gneE0_0,185.55,0.00,25.40,Car01,185.55,0.00
19.00,1.50,90.00,3,gneE0_0,115.09,0.00,20.04,Car01,115.09,0.00
19.00,2.48,90.00,4,gneE0_0,59.31,0.00,13.55,Car01,59.31,0.00
20.00,0.39,90.00,0,gneE0_0,375.17,0.00,30.56,Car01,375.17,0.00
20.00,-0.04,90.00,1,gneE0_0,301.32,0.00,30.23,Car01,301.32,0.00
20.00,1.96,90.00,2,gneE0_0,212.91,0.00,27.36,Car01,212.91,0.00
20.00,1.49,90.00,3,gneE0_0,136.62,0.00,21.54,Car01,136.62,0.00
20.00,1.74,90.00,4,gneE0_0,74.60,0.00,15.29,Car01,74.60,0.00
21.00,-0.42,90.00,0,gneE0_0,405.31,0.00,30.14,Car01,405.31,0.00
21.00,-0.22,90.00,1,gneE0_0,331.32,0.00,30.00,Car01,331.32,0.00
21.00,2.12,90.00,2,gneE0_0,242.40,0.00,29.48,Car01,242.40,0.00
21.00,1.95,90.00,3,gneE0_0,160.10,0.00,23.48,Car01,160.10,0.00
21.00,2.49,90.00,4,gneE0_0,92.37,0.00,17.77,Car01,92.37,0.00
22.00,0.70,90.00,0,gneE0_0,436.15,0.00,30.84,Car01,436.15,0.00
22.00,0.40,90.00,1,gneE0_0,361.73,0.00,30.41,Car01,361.73,0.00
22.00,1.21,90.00,2,gneE0_0,273.09,0.00,30.69,Car01,273.09,0.00
