data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
0.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,0,gneE0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,0.00,,,,,,,,,,,,,,,
0.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,gneE0,8046720.00,164.78,2624.72,0.81,1.20,0.07,0.00,837.22,gneE0_0,33.53,0.00,55.94,0.00,1
0.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
0.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
1.00,147.38,3220.52,0.75,1.44,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1027.24,0,gneE0_0,64.31,6.85,route01,1.75,Car01,0.00,6.85,0.00,,,,,,,,,,,,,,,
1.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,gneE0,4596.41,147.38,3220.52,0.75,1.44,0.07,0.00,1027.24,gneE0_0,33.53,1.75,64.31,0.00,1
1.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
1.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
2.00,135.53,4072.23,0.71,1.79,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1298.88,0,gneE0_0,65.78,10.51,route01,3.66,Car01,0.00,10.51,0.00,,,,,,,,,,,,,,,
2.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
2.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
2.00,,,,,,,,,,,,,,,,,,,,gneE0,2200.46,135.53,4072.23,0.71,1.79,0.09,0.00,1298.88,gneE0_0,33.53,3.66,65.78,0.00,1
2.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
2.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
3.00,131.43,5268.60,0.72,2.30,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1680.45,0,gneE0_0,67.48,16.25,route01,5.75,Car01,0.00,16.25,0.00,,,,,,,,,,,,,,,
3.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,1,gneE0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,0.00,,,,,,,,,,,,,,,
3.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
3.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
3.00,,,,,,,,,,,,,,,,,,,,gneE0,2800.53,296.21,7893.33,1.53,3.50,0.17,0.00,2517.68,gneE0_0,33.53,2.87,67.78,0.00,2
3.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
3.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
4.00,109.05,5120.33,0.62,2.18,0.10,90.00,HBEFA3/PC_G_EU4,0.00,1633.16,0,gneE0_0,66.06,23.58,route01,7.33,Car01,0.00,23.58,0.00,,,,,,,,,,,,,,,
4.00,147.45,3099.26,0.74,1.38,0.07,90.00,HBEFA3/PC_G_EU4,0.00,988.57,1,gneE0_0,63.56,6.69,route01,1.59,Car01,0.00,6.69,0.00,,,,,,,,,,,,,,,
4.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
4.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
4.00,,,,,,,,,,,,,,,,,,,,gneE0,1803.69,256.50,8219.59,1.36,3.57,0.17,0.00,2621.72,gneE0_0,33.53,4.46,68.00,0.00,2
4.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
4.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
5.00,130.06,7223.82,0.76,3.12,0.15,90.00,HBEFA3/PC_G_EU4,0.00,2304.05,0,gneE0_0,69.19,33.00,route01,9.42,Car01,0.00,33.00,0.00,,,,,,,,,,,,,,,
5.00,134.53,3791.85,0.70,1.66,0.08,90.00,HBEFA3/PC_G_EU4,0.00,1209.46,1,gneE0_0,64.92,10.03,route01,3.33,Car01,0.00,10.03,0.00,,,,,,,,,,,,,,,
5.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,gneE0,1262.15,264.59,11015.67,1.47,4.79,0.23,0.00,3513.51,gneE0_0,33.53,6.38,70.57,0.00,2
5.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
